Date,Startup,Industry Vertical,SubVertical,City,Investors Name,InvestmentnType,CR,Year,Month
2015-08-07,Quinto,Food Discovery App,,Pune,jaydeep barman,Seed Funding,0.0,2015.0,August
2015-08-07,Saavn,Music Streaming App,,Mumbai,"tiger global management, bertelsmann india, steadview capital, liberty media, mousse partners, quilvest",Private Equity,825.0,2015.0,August
2015-08-07,Flytxt,Big Data & Analytics platform,,Mumbai / Global,"sunrise capital gmbh, big data investments b.v",Private Equity,90.75,2015.0,August
2015-08-07,Axtria,Big Data & Analytics platform,,India / US,"helion venture partners,amarpreet sawhney, deshpande foundation, fred khosravi, richard s. braddock",Private Equity,247.5,2015.0,August
2015-08-07,33Coupons,Coupon Aggregator Platform,,Kanpur,not disclosed,Seed Funding,0.165,2015.0,August
2015-08-07,Ampere,Electric Scooter manufacturer,,Coimbatore,ratan tata,Seed Funding,0.0,2015.0,August
2015-08-07,Hopping Chef,Online Food-Tech Platform,,Mumbai,mirah hospitality,Seed Funding,3.8775,2015.0,August
2015-08-07,Collectabillia,Celebrity Fashion Brand,,Bangalore,accel partners,Private Equity,61.875,2015.0,August
2015-08-07,Lendingkart,Online Finance lending platform,,Ahmedabad,"saama capital, mayfield, ashvin chadha, shailesh mehta",Private Equity,82.5,2015.0,August
2015-08-07,Lybrate,Healthcare Mobile App,,New Delhi,"tiger global management, ratan tata, nexus venture partners",Private Equity,84.15,2015.0,August
2015-08-07,Zoomcar,Self-driven vehicle rental,,Bangalore,"sequoia capital, empire angels, ngp",Private Equity,90.75,2015.0,August
2015-07-14,MySmartPrice,Online comparison engine,,Hyderabad,"accel partners, helion venture partners",Private Equity,82.5,2015.0,July
2015-07-14,Boxmyspace,Physical Storage warehouses,,Mumbai,"ritesh veera, singapore angel network, orios venture partners,",Seed Funding,2.475,2015.0,July
2015-07-14,HackerRank,Tech Recruitment platform,,Bangalore,hr technology fund,Private Equity,61.875,2015.0,July
2015-07-14,WickedRide,Bike Rental Platform,,Bangalore,undisclosed,Seed Funding,6.5175,2015.0,July
2015-07-14,WoWexpress,Tech enabled logistics platform,,Mumbai,tamarind family private trust,Seed Funding,4.125,2015.0,July
2015-07-15,Oyo Rooms,Budget Hotel Accommodation,,Gurgaon,"softbank, sequoia capital",Private Equity,825.0,2015.0,July
2015-07-15,Mobikon,Restaurant customer engagement platform,,Pune,jungle ventures,Private Equity,18.975,2015.0,July
2015-07-15,InstaLively.com,Live video streaming app,,New Delhi,"anupam mittal, anand chandrasekaran, uday shankar, chetan bhagat",Seed Funding,0.0,2015.0,July
2015-07-15,Roadrunnr,Hyper local logistics platform,,Bangalore,"sequoia capital, nexus venture partners, blume ventures",Private Equity,90.75,2015.0,July
